precio;superficie;habitaciones;ascensor;banos;aire_acond;balcon;terraza;renta;longevidad;educ_sup;presion_mig;hospital;metro;universidad;autobus_interurbano;autobus_local;policia_local
180000;76;2;1;1;0;0;0;9566;32.762;135.714.286;37.433.155;0.653867021250699;407.020.968.986.534;408.702.771.370.409;0.897215152219143;127.313.013.197.717;0.997317974279284
224990;81;3;1;2;1;0;1;9493;8.571;224.783.862;0.8645533;0.983170526617391;372.954.227.071.977;389.337.795.327.285;140.407.414.070.676;115.264.530.358.515;0.869481895798292
250000;70;2;1;1;1;0;0;14481;33.737;383.495.146;38.834.951;0.0741569270418937;0.622529506326711;0.758648716673699;121.870.497.743.258;0.635913165363432;0.675688195026895
143990;97;3;0;1;1;0;0;9758;35.886;140.703.518;30.150.754;101.163.634.316.789;46.538.957.194.193;471.013.956.377.353;0.992743998077543;195.517.487.736.198;140.550.725.821.456
170000;88;3;1;2;1;0;0;11749;1.86;376.666.667;13.333.333;104.847.921.200.071;433.673.451.855.713;444.924.932.806.908;167.290.749.353.402;192.938.924.880.128;111.318.217.417.753
379000;129;2;1;2;1;0;0;15553;29.636;363.881.402;70.080.863;0.76110610495066;0.500193589929489;0.832372793143258;0.875021931755286;0.53571970386833;0.958004939920251
185000;83;3;1;2;1;0;0;10742;4.314;318.287.037;24.305.556;141.894.910.485.108;471.695.794.659.253;483.243.040.137.694;169.348.592.087.336;21.690.657.431.349;149.529.411.240.065
160000;84;3;1;1;1;1;0;5256;21.447;39.622.642;126.415.094;0.446484862266452;337.914.736.596.959;114.901.292.357.926;178.039.555.420.839;0.437358414989549;0.955043880099433
232000;65;1;1;1;1;1;1;17848;35.197;50.273.224;30.054.645;0.269080271705007;0.214417565272467;0.257301043960161;144.428.008.229.111;0.253036366395511;0.916423801139695
245000;56;1;1;1;1;1;0;18506;40.388;534.313.725;56.372.549;0.428160308863887;0.846888412706967;105.124.788.410.788;0.525558391339441;0.699962943530937;121.466.572.860.072
269000;84;2;1;2;0;0;0;16585;27.813;446.708.464;70.532.915;0.272722494946977;271.847.831.473.464;0.140776896856274;206.488.224.567.956;0.278168392513036;0.642053239191478
295000;62;2;1;1;1;0;0;15349;24.553;411.255.411;47.619.048;0.273764752555965;123.865.748.675.636;112.340.630.143.501;0.413114711993837;0.232294171075712;141.729.651.953.435
350000;79;2;0;1;1;1;0;19103;33.449;525.641.026;63.938.619;0.33276427808127;0.895858330417264;0.534233529326747;0.59371198991729;0.971304045873354;101.826.814.734.541
430000;105;3;1;1;0;0;0;16296;26.962;486.935.867;28.503.563;0.414192950467229;0.536784088547185;0.348245399765472;151.828.858.845.947;0.4732961930097;0.501918698016215
290164;84;3;1;1;1;0;1;16996;33.293;453.874.539;55.147.059;0.403975704231115;115.533.105.106.804;0.921864901618423;105.643.163.560.656;0.804081054595514;0.979869066376946
364800;114;3;1;2;1;0;0;17046;34.105;42.503.639;97.525.473;0.44608009600312;299.134.086.123.846;301.057.887.583.195;161.393.537.429.998;0.687022748843883;158.608.359.155.048
265000;81;2;0;1;1;1;0;14159;25.398;448.837.209;76.744.186;0.612054237508911;208.361.160.802.755;0.483209229023407;140.582.060.713.689;0.418171829970595;0.127635240463831
210000;65;3;0;1;0;0;0;8532;21.696;238.636.364;200.757.576;0.0986823016437185;0.159354935738546;0.0653051697156981;170.322.644.640.971;0.249971313235707;0.137079093357284
293000;112;3;1;2;1;0;0;12916;8.66;338.006.231;26.438.569;0.899379704170524;358.967.356.463.325;0.703187370185483;303.480.417.471.814;0.606941110365737;253.003.857.725.329
260000;76;2;1;1;1;0;0;16536;27.64;505.084.746;64.189.189;0.252679662514567;159.279.111.815.107;0.438659520507119;132.213.380.062.151;0.808703167444942;0.723615191290802
170000;67;2;1;1;1;0;0;13906;30.084;352.564.103;25.695.931;0.322637658307694;209.321.791.322.055;0.76337223528174;247.894.503.410.798;0.852759387354592;0.776872263284199
500000;150;4;1;3;1;0;1;13319;28.158;348.214.286;20.089.286;0.424890705437829;192.605.164.073.937;0.826972834138504;235.797.405.818.135;0.702697557289239;0.927721559513104
71000;74;2;0;1;0;1;0;6518;22.765;60.714.286;76.785.714;0.171467619380703;15.297.207.808.411;111.258.800.778.133;16.492.228.433.354;0.387309443773532;0.970719514954363
425000;112;2;1;2;1;0;0;19103;33.449;525.641.026;63.938.619;0.491944617905608;0.774883600781412;0.507990341136346;0.751467749045648;105.726.474.457.737;0.859527513812909
